Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	12.935275	7.7335696	54.0	4.0	12.935275	-0.006741992	0.14565521	0.45918095	-0.6314371	4000	8.1658364e-08	119.55702	-0.02057741	-21.954628	0.92194027	0.009299446	0.1465	79.0	2.8926587104797363
1	14.576642	9.218929	74.0	4.0	14.576642	1.3561611	0.21154426	2.6091008	-0.090521336	8000	1.847744e-08	131.42418	-0.020863278	-42.59204	0.9222581	0.017555336	0.1565	15.0	5.146001577377319
2	20.085426	13.733198	96.0	5.0	20.085426	4.3281684	0.586244	6.814381	1.1465685	12000	9.298325e-09	194.85034	-0.021657217	-65.02135	0.93456954	0.008459638	0.12675	79.0	7.403574705123901
3	25.564102	16.753561	127.0	5.0	25.564102	8.946816	0.7572396	11.70198	4.9905868	16000	-2.861023e-09	200.84889	-0.023818567	-45.72513	0.9362749	0.012738708	0.137	79.0	9.744072914123535
4	34.474136	21.621136	88.0	6.0	34.474136	13.586258	0.45114157	15.006341	10.832391	20000	-2.9444694e-08	234.65932	-0.018638808	-51.876404	0.9237795	0.012323595	0.107	79.0	12.02220892906189
5	57.188404	29.647825	182.0	7.0	57.188404	18.654665	1.1604861	21.184242	7.720746	24000	-2.5749207e-08	389.00992	-0.010663683	-109.898865	0.89874226	0.0025932735	0.04225	79.0	14.305938005447388
6	62.234375	28.05783	133.0	6.0	62.234375	25.764816	2.2171755	30.29077	11.078562	28000	5.722046e-09	280.35297	-0.0104049165	-46.503845	0.9140611	0.007256029	0.04425	79.0	16.69249129295349
7	88.155556	45.297512	295.0	21.0	88.155556	28.490934	3.8972895	32.146336	7.8712487	32000	0.0	475.679	-0.006502755	-132.39453	0.90650153	0.0040631997	0.03725	79.0	18.98893713951111
8	97.15385	48.584335	220.0	11.0	97.15385	35.547337	6.337313	41.74514	6.780838	36000	-1.2040139e-08	443.464	-0.0061561503	-97.65341	0.9232482	0.002437865	0.035	79.0	21.291343212127686
9	121.21212	45.953045	238.0	33.0	121.21212	41.353905	8.207438	48.670666	8.245157	40000	-3.1530856e-08	351.46524	-0.009440643	-43.404053	0.9178189	0.004119239	0.0535	79.0	23.614439010620117
10	182.38095	147.36009	616.0	18.0	182.38095	45.561523	9.21863	54.329674	2.2951999	44000	-1.4871359e-08	871.95233	-0.009505669	-341.76453	0.90230477	0.0032980428	0.04425	79.0	26.18249011039734
11	236.125	171.54842	545.0	46.0	236.125	58.675484	11.460992	68.83059	10.513933	48000	1.1622905e-08	684.166	-0.010367854	-108.15576	0.9208981	0.0065297587	0.068	79.0	28.55508327484131
12	553.7143	300.7613	1000.0	246.0	553.7143	69.36216	5.579132	75.17412	39.078075	52000	4.148483e-08	659.0225	-0.004849458	-209.0846	0.89635485	0.0015168021	0.035	79.0	30.80840516090393
13	500.16666	366.7585	1000.0	53.0	500.16666	79.443794	5.4857225	85.38179	37.76304	56000	2.861023e-09	550.7469	-0.0071479655	-57.84958	0.91125524	0.0021376787	0.047	79.0	33.095881938934326
14	653.0	329.1823	1000.0	186.0	653.0	85.59614	5.700456	89.809814	34.27598	60000	2.0980835e-08	460.10324	-0.008150256	-6.917572	0.93076426	0.0040986785	0.0295	79.0	35.344050884246826
15	758.75	249.41269	1000.0	428.0	758.75	86.77721	4.2835565	91.3246	45.90222	64000	-1.9073487e-09	388.26807	-0.0030146514	-16.064392	0.9109537	0.0016433363	0.025	79.0	37.629677295684814
16	800.0	346.41016	1000.0	200.0	800.0	90.3651	2.2621555	92.4945	75.2013	68000	-8.3446505e-10	393.8555	-0.005208274	-1.6370544	0.93189013	0.0050287154	0.0645	79.0	39.855844497680664
17	1000.0	0.0	1000.0	1000.0	1000.0	89.96884	2.6246803	93.32924	77.49708	72000	4.2915342e-09	402.31497	-0.0011101699	-4.7130127	0.9259681	0.00043813974	0.0315	79.0	42.135106801986694
18	950.0	86.60254	1000.0	800.0	950.0	89.06605	4.2902126	92.329865	48.919823	76000	1.502037e-08	364.9116	-0.004132157	-1.7225647	0.94037366	0.004933525	0.0345	79.0	44.51686692237854
19	1000.0	0.0	1000.0	1000.0	1000.0	91.386734	1.9399896	93.42575	76.77645	80000	-1.5735626e-08	387.39783	-0.0032617482	-3.033081	0.93767864	0.00083320116	0.02575	79.0	46.98157000541687
