Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-25.037083	0.0	-25.037083	-25.037083	1000.0	0.07624406	1.4168199	3.9381914	-3.4918492	4000	8.130073e-08	7.6566043	-0.06960854	-6.6648436	11.032355	0.07710219	0.418	19.0	5.222011566162109
1	-25.056976	0.0	-25.056976	-25.056976	1000.0	-1.821231	0.9805942	1.5760475	-4.640458	8000	3.8146974e-09	1.1538967	-0.06812059	-0.5539501	11.109684	0.07693441	0.4305	25.0	9.546552896499634
2	-25.076881	0.0	-25.076881	-25.076881	1000.0	-2.157588	0.8282877	0.9665158	-4.0495987	12000	-4.148483e-08	0.6519974	-0.07628405	-0.1945377	11.005098	0.075021304	0.44175	42.0	13.906510591506958
3	-25.0968	0.0	-25.0968	-25.0968	1000.0	-2.2738593	0.74573034	0.742178	-4.000292	16000	-1.3828277e-08	0.48638603	-0.06601135	-0.11966205	11.063453	0.07784456	0.41575	27.0	17.989617824554443
4	-25.116728	0.0	-25.116728	-25.116728	1000.0	-2.3562388	0.68884504	0.6421864	-3.6966908	20000	-1.4781952e-08	0.38977498	-0.078444794	-0.09311721	11.015459	0.035468176	0.451	79.0	22.698615550994873
5	-25.13667	0.0	-25.13667	-25.13667	1000.0	-2.4259005	0.64503217	0.55128443	-3.9312234	24000	-2.1457673e-08	0.31054765	-0.07655024	-0.060400426	10.992169	0.035697136	0.47025	79.0	27.50241446495056
6	-25.15662	0.0	-25.15662	-25.15662	1000.0	-2.4726815	0.61538917	0.50503176	-4.0696034	28000	4.3988226e-08	0.25773138	-0.07369052	-0.042152047	11.072017	0.0682288	0.44425	79.0	32.02905869483948
7	-25.176582	0.0	-25.176582	-25.176582	1000.0	-2.503063	0.5898847	0.46538833	-4.1658998	32000	-1.6093255e-08	0.22199228	-0.067722045	-0.027655795	10.974285	0.015088538	0.461	79.0	36.559807538986206
8	-25.196556	0.0	-25.196556	-25.196556	1000.0	-2.5271168	0.5775681	0.45763785	-4.230909	36000	1.9073486e-08	0.19792505	-0.068068	-0.03694506	11.127574	0.015554905	0.47175	79.0	41.08468842506409
9	-25.21654	0.0	-25.21654	-25.21654	1000.0	-2.5517006	0.55176204	0.47100386	-4.2832303	40000	-2.9087067e-08	0.16327932	-0.06526848	-0.022916898	10.970584	0.01408544	0.42575	79.0	45.57242679595947
10	-25.236534	0.0	-25.236534	-25.236534	1000.0	-2.5698757	0.5362484	0.44719324	-4.3049016	44000	-1.4305114e-08	0.14209794	-0.06366055	-0.017349213	10.994135	0.031259567	0.4425	79.0	51.25681924819946
11	-25.256538	0.0	-25.256538	-25.256538	1000.0	-2.5831854	0.5253047	0.112095386	-4.3137436	48000	-3.051758e-08	0.12580624	-0.06464628	-0.011592552	11.112324	0.0014117655	0.455	79.0	56.34497547149658
12	-25.276552	0.0	-25.276552	-25.276552	1000.0	-2.5945919	0.51993346	0.084821165	-4.341556	52000	-4.7683717e-08	0.11534251	-0.06274513	-0.009897508	11.019397	0.009131755	0.45675	79.0	61.54259634017944
