Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-78.93554	15.828582	-28.884418	-133.9463	60.0	-73.888885	41.220013	8.338187	-190.4284	6000	-1.001358e-08	2298.8674	-0.04056872	-1987.9902	7.6108313	0.01672987	0.32183334	1.0	218.4722604751587
1	-78.91038	18.907831	-27.210407	-135.61935	60.0	-35.993908	28.203377	47.938595	-166.95067	12000	-4.83195e-08	372.6069	-0.019415222	-152.46341	7.559534	0.028593242	0.37066665	1.0	457.5156886577606
2	-78.92989	16.230286	-31.299458	-116.80211	60.0	-35.162384	26.132736	25.530653	-164.61076	18000	-3.560384e-08	301.3832	-0.07373331	-117.241745	7.6151967	0.01977619	0.39533332	7.0	696.3809063434601
3	-83.46878	15.040383	-36.678772	-128.74135	60.0	-37.00812	24.70437	27.794327	-172.55751	24000	2.0980835e-08	272.8705	-0.06347137	-107.28317	7.5764103	0.018976817	0.32283333	6.0	931.5165553092957
4	-81.30751	14.544267	-32.32863	-125.02602	60.0	-34.412804	23.449219	23.896965	-135.23383	30000	3.1789145e-09	245.78479	-0.052930463	-99.08365	7.4867096	0.017427916	0.27133334	4.0	1167.884400844574
5	-80.91453	18.041332	-34.210144	-123.74901	60.0	-35.0481	23.004831	41.130054	-131.14912	36000	-7.2479246e-08	241.64484	-0.06423605	-90.89752	7.5502033	0.018398248	0.3375	7.0	1405.1794335842133
6	-85.01056	14.539603	-38.99402	-132.15404	60.0	-35.652645	23.027918	42.876274	-160.59772	42000	7.120768e-08	236.015	-0.054934103	-90.582794	7.5520945	0.018597508	0.31	5.0	1640.2107384204865
7	-79.673805	16.92635	-30.993721	-115.91982	60.0	-35.361053	22.584389	22.5525	-159.39316	48000	8.312861e-08	202.71696	-0.053891964	-82.80462	7.601554	0.019259589	0.32	5.0	1877.950127363205
8	-81.507195	16.133154	-32.03012	-112.81948	60.0	-33.458923	22.382809	31.64619	-124.16201	54000	2.8610229e-08	207.93231	-0.05166007	-80.2234	7.510117	0.01989805	0.305	5.0	2114.9203407764435
9	-82.67914	16.426943	-30.915302	-145.61688	60.0	-35.242863	22.755625	14.569931	-126.06879	60000	3.4332274e-08	191.60754	-0.0634691	-70.60781	7.502146	0.020870324	0.34466666	7.0	2352.1180596351624
10	-82.42296	17.564425	-29.654995	-122.24507	60.0	-35.07419	22.444695	21.487175	-165.80598	66000	6.453196e-08	208.75735	-0.048490226	-87.47178	7.593937	0.02030885	0.31	4.0	2590.0460743904114
11	-82.4219	14.194713	-34.900803	-113.93729	60.0	-36.163162	22.887146	40.57779	-154.16705	72000	-4.45048e-08	183.99454	-0.05879069	-75.18162	7.6230106	0.019110944	0.36116666	6.0	2826.6577599048615
