Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-68.95973	0.11489505	-68.80839	-69.0753	1000.0	-0.0009262753	0.8924305	2.6694276	-3.1601484	4000	6.5803526e-08	40.99289	-0.008037989	-2.8661728	11.032355	0.095279776	0.16575	2.0	3.767843246459961
1	-68.87906	0.40355644	-68.40801	-69.42488	1000.0	-0.11837108	0.7451717	2.2272322	-6.7988877	8000	-8.678436e-08	38.843327	-0.017733464	-2.407814	11.109684	0.089070804	0.21225	5.0	8.015069246292114
2	-69.36186	0.2593242	-68.9683	-69.664276	1000.0	-0.22253852	0.81338286	2.4540966	-8.256024	12000	6.4134596e-08	38.51726	-0.03034143	-2.347744	11.005097	0.080735505	0.21025	12.0	11.47540807723999
3	-69.47861	0.661422	-68.85578	-70.42534	1000.0	-0.32323158	0.8758829	2.2581072	-8.608925	16000	-2.4843217e-07	37.956505	-0.03874044	-2.4509468	11.063453	0.08027712	0.2075	23.0	15.009660959243774
4	-69.70723	0.09038123	-69.610916	-69.85148	1000.0	-0.43900642	0.9700571	2.5302715	-8.50766	20000	-8.010864e-08	36.54472	-0.028965883	-2.336914	11.015459	0.07798961	0.20775	13.0	18.795012950897217
5	-69.75725	0.4127333	-69.20131	-70.1882	1000.0	-0.5283381	1.0126837	2.4513643	-8.536209	24000	-5.1498414e-08	35.539272	-0.021964354	-2.4157715	10.992168	0.07976393	0.23	8.0	22.283830165863037
6	-70.00357	0.44325978	-69.51306	-70.71411	1000.0	-0.6149823	1.1342152	2.9719539	-9.348393	28000	-3.862381e-08	35.665695	-0.023342084	-2.4826164	11.072016	0.08050849	0.232	9.0	25.695926427841187
7	-70.06308	0.17576951	-69.77832	-70.21163	1000.0	-0.72348243	1.193967	3.3575492	-9.664623	32000	1.0871887e-07	34.936226	-0.031619657	-2.6054726	10.974284	0.07626689	0.21325	17.0	29.458094358444214
8	-70.10982	0.28564566	-69.8279	-70.547585	1000.0	-0.8091105	1.2317619	3.4802675	-9.4832	36000	3.4332274e-08	34.030838	-0.024256833	-2.8791466	11.127575	0.08046679	0.25775	9.0	33.07082915306091
9	-70.33782	0.13931562	-70.178375	-70.56096	1000.0	-0.97148067	1.2672777	3.5444798	-10.135538	40000	-4.673004e-08	33.061905	-0.028441612	-3.6322517	10.970584	0.07700537	0.2375	13.0	37.143510818481445
10	-70.815445	0.12069768	-70.64174	-70.9603	1000.0	-1.2191036	1.5373137	3.9764502	-9.8655205	44000	1.5902519e-07	30.526932	-0.04793732	-9.329622	10.994135	0.07502038	0.22725	33.0	42.15239882469177
11	-70.79456	0.3748894	-70.368805	-71.21499	1000.0	-2.0320415	1.3040404	3.6096375	-9.706263	48000	-1.3446808e-07	23.020542	-0.034283713	-5.2044945	11.112324	0.078808695	0.20625	17.0	46.96329116821289
12	-70.830185	0.5022739	-70.31469	-71.54076	1000.0	-2.4653056	1.2272172	4.6405797	-10.869319	52000	6.6757204e-09	19.208294	-0.028934635	-3.198904	11.019399	0.077856675	0.201	13.0	51.80552792549133
13	-71.05708	0.36634135	-70.61553	-71.614494	1000.0	-2.7266066	1.1389617	3.0753202	-10.148845	56000	9.298324e-08	17.108925	-0.01889688	-2.5905952	11.082053	0.08154608	0.193	7.0	56.43346071243286
14	-70.96639	0.17864169	-70.67255	-71.150375	1000.0	-2.9341857	1.0871754	1.404644	-10.044451	60000	1.1253357e-07	15.01699	-0.026774893	-2.1595783	11.06132	0.07749888	0.20725	12.0	62.93647813796997
15	-71.261185	0.33225155	-70.992	-71.80626	1000.0	-3.1258607	1.0405251	0.07272756	-10.424741	64000	1.2397766e-08	14.1294	-0.027373578	-1.9813862	11.030051	0.0821337	0.2465	12.0	68.14815855026245
16	-71.521034	0.3825504	-70.86194	-71.80207	1000.0	-3.275748	1.0241022	0.60237277	-10.617193	68000	4.4107438e-09	13.35627	-0.029399237	-1.8465014	10.952311	0.07582634	0.216	15.0	72.62181448936462
17	-71.60773	0.30342248	-71.24782	-71.95829	1000.0	-3.4044094	1.0457449	0.2905693	-10.43031	72000	1.2588501e-07	12.974065	-0.025136448	-1.8738241	11.045337	0.07800936	0.2645	11.0	76.52092552185059
18	-71.7101	0.28051293	-71.309296	-72.10252	1000.0	-3.5907938	0.98556197	-0.6596517	-10.25896	76000	3.8146974e-09	11.527143	-0.024524143	-1.5913172	11.0038805	0.07806872	0.25475	9.0	81.1219265460968
19	-71.9237	0.4366098	-71.466286	-72.419914	1000.0	-3.734765	0.9666175	1.629133	-10.040945	80000	6.198883e-08	11.045583	-0.02314193	-1.6016397	10.996694	0.0788458	0.25725	9.0	85.43417119979858
20	-72.26504	0.32350636	-71.96028	-72.771645	1000.0	-3.8975742	0.97451925	0.24399662	-10.391407	84000	-3.218651e-08	9.865035	-0.023881488	-1.4538374	11.000891	0.082301944	0.2775	9.0	90.8353841304779
21	-71.727615	0.32043034	-71.359146	-72.108665	1000.0	-4.054736	0.9569078	-0.81562597	-10.411117	88000	1.07765196e-07	8.802397	-0.023456266	-1.3271227	11.020303	0.08370529	0.2675	8.0	94.73399519920349
22	-72.4652	0.37503043	-71.823814	-72.7541	1000.0	-4.1724987	0.9569223	-0.77072895	-11.469703	92000	-1.17778775e-07	8.873824	-0.019859852	-1.3834624	11.055151	0.0849093	0.24	8.0	99.61209607124329
23	-72.43326	0.045037296	-72.36004	-72.479355	1000.0	-4.297363	0.97472775	-1.2010337	-10.304177	96000	1.6403199e-07	8.032603	-0.019646084	-1.3267808	11.056043	0.08424502	0.2575	9.0	104.48960518836975
24	-72.84142	0.18561038	-72.60932	-73.09608	1000.0	-4.429453	0.9222336	-1.3899673	-10.047726	100000	-1.6760826e-07	7.3855367	-0.021990025	-1.6135592	11.010902	0.07966745	0.22	9.0	109.60097455978394
25	-72.803604	0.3983389	-72.40348	-73.37442	1000.0	-4.73007	1.0633056	-0.53450906	-10.407882	104000	1.2207032e-07	6.230407	-0.027639654	-3.4342256	10.982223	0.07728876	0.216	13.0	114.18657064437866
26	-73.18155	0.13470685	-73.03509	-73.335075	1000.0	-5.6889467	1.1908941	-0.19704425	-9.7416	108000	-2.8610229e-08	3.2996292	-0.042081438	-2.3118825	11.000906	0.07574502	0.22775	26.0	118.240638256073
27	-73.25381	0.32789472	-72.89841	-73.67785	1000.0	-6.5480847	0.77366537	-1.7455217	-9.285849	112000	2.7179718e-08	1.0294985	-0.032499865	-0.70732594	11.105493	0.079297885	0.2315	17.0	122.60273456573486
28	-73.37019	0.44026434	-72.61157	-73.66997	1000.0	-6.9541183	0.5128962	-2.3002577	-9.420919	116000	-7.390976e-08	0.34482187	-0.060265567	-0.22153077	10.964383	0.060565036	0.30975	79.0	127.5398576259613
29	-73.143196	0.14352418	-72.92987	-73.329124	1000.0	-7.125449	0.37939072	-2.112683	-8.800782	120000	1.4162063e-07	0.46155265	-0.024366666	-0.08321574	11.076198	0.08392771	0.281	10.0	132.71968913078308
30	-73.667114	0.31571174	-73.256035	-74.02802	1000.0	-7.100709	0.43616685	-0.5482216	-8.265455	124000	-2.6702882e-08	0.24460801	-0.050991412	-0.16332018	11.0285225	0.06529673	0.294	79.0	137.93694710731506
31	-73.832146	0.37948665	-73.5182	-74.48124	1000.0	-7.231898	0.24562049	-4.319516	-8.315882	128000	6.2942505e-08	0.07973901	-0.023024397	-0.037058324	10.956605	0.07739472	0.26075	10.0	144.04861640930176
32	-73.65681	0.2990339	-73.24953	-74.0942	1000.0	-7.2958946	0.19632985	-3.9198942	-8.296979	132000	-2.4437905e-09	0.044872493	-0.018691108	-0.016924517	11.058746	0.08110359	0.2675	9.0	150.1787610054016
33	-73.69591	0.2551831	-73.446915	-74.0707	1000.0	-7.305786	0.19130272	-3.8227513	-8.224731	136000	1.206398e-07	0.04710739	-0.013913219	-0.022485303	11.035132	0.09496837	0.18175	5.0	155.60611844062805
34	-73.74954	0.3153133	-73.275215	-74.041245	1000.0	-7.3269935	0.13553494	-5.1864395	-7.9293323	140000	1.7881394e-08	0.025888002	-0.01888899	-0.0077811703	11.003772	0.07959691	0.2685	8.0	160.8749554157257
35	-74.08954	0.3991018	-73.5417	-74.667404	1000.0	-7.3326445	0.11712563	-5.4037256	-7.9876456	144000	9.131431e-08	0.023530692	-0.02334634	-0.006322233	10.99467	0.07774281	0.2505	10.0	167.65342926979065
36	-74.01296	0.108378865	-73.82989	-74.10313	1000.0	-7.3467183	0.14489774	-1.618343	-7.8739033	148000	-1.8119811e-08	0.028573878	-0.017810326	-0.015266893	10.956258	0.07577602	0.26	10.0	173.16136050224304
37	-73.85638	0.42987275	-73.54443	-74.59772	1000.0	-7.3514214	0.102643244	-4.296111	-7.79381	152000	-6.198883e-08	0.02409088	-0.036542356	-0.0064006224	11.080151	0.076699	0.2155	25.0	178.7310984134674
38	-73.80317	0.22805566	-73.44395	-74.069984	1000.0	-7.3393097	0.08595737	-4.6793766	-7.7379994	156000	9.012222e-08	0.017428337	-0.02977276	-0.0042310497	11.02775	0.07702444	0.20475	17.0	184.8054392337799
39	-73.93779	0.27420214	-73.613525	-74.36626	1000.0	-7.330161	0.067538194	-5.7737474	-7.7217607	160000	5.3405763e-08	0.014805462	-0.019880326	-0.0024280753	11.024576	0.083566315	0.28775	8.0	190.36831879615784
