Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-4.4370694	0.5156894	-3.1377232	-4.937671	60.0	-6.889562	3.7864673	10.821832	-18.586594	600	2.0345053e-07	39.720272	-0.1376458	-34.375847	11.2930765	0.025041424	0.68833333	2.0	23.010682821273804
1	-3.9891381	0.51658005	-3.2018394	-4.9811234	60.0	-3.6945808	3.2351024	5.3840103	-16.09675	1200	1.9232432e-07	15.005671	-0.13271402	-12.83374	11.484209	0.025259668	0.64	3.0	45.45265865325928
2	-4.5368967	0.51221603	-3.3048105	-5.3020854	60.0	-2.5421312	2.6928463	6.4919233	-13.336335	1800	3.4968057e-08	8.719599	-0.13231374	-7.3284984	11.202135	0.031842668	0.6616667	4.0	67.84359574317932
3	-4.4576764	0.7487465	-2.9707634	-5.389931	60.0	-2.531847	2.3345366	5.4324355	-11.793062	2400	6.357829e-09	6.981835	-0.11693944	-5.8774176	11.3357115	0.037663534	0.54833335	3.0	90.2830970287323
4	-4.341636	0.69987315	-2.9228756	-5.5548377	60.0	-2.3241293	2.4908261	8.362657	-11.780273	3000	-1.5894573e-08	7.499432	-0.11738862	-6.3383408	11.2595005	0.032672096	0.59833336	4.0	112.80408334732056
5	-4.2785025	0.49605533	-3.1336567	-5.146038	60.0	-2.5554402	2.2800293	5.009171	-11.034702	3600	1.0887782e-07	6.5384626	-0.12196646	-5.669863	11.310238	0.02647569	0.57666665	4.0	135.24210810661316
6	-4.306285	0.926852	-2.725086	-5.649408	60.0	-2.387811	2.3298054	4.954174	-11.680152	4200	-9.059906e-08	7.348224	-0.12621748	-6.179264	11.381152	0.038616985	0.6816667	5.0	157.80106019973755
7	-4.325549	0.62970066	-3.0698702	-5.45962	60.0	-2.4072134	2.2293534	7.100305	-12.075834	4800	-1.5894572e-09	6.3732805	-0.1204584	-5.5307736	11.377333	0.029361483	0.56333333	4.0	180.49805879592896
8	-4.5837355	0.5425672	-3.3599927	-5.530166	60.0	-2.2897258	1.9746627	5.4468207	-8.951942	5400	3.2981237e-08	5.3221054	-0.13358633	-4.584876	11.455525	0.030954866	0.665	5.0	203.09787678718567
9	-4.6047926	0.6466523	-3.3820927	-5.510813	60.0	-2.0557137	1.8818828	3.7023692	-9.220814	6000	8.026759e-08	4.719571	-0.12571232	-3.9700894	11.399219	0.025603892	0.5883333	4.0	225.64182424545288
10	-5.1251802	0.36159348	-4.510326	-5.6809006	60.0	-2.1642404	1.6730613	2.4756336	-11.168514	6600	-6.039937e-08	4.0483117	-0.124923125	-3.5302038	11.31856	0.027592996	0.5566667	4.0	248.07401752471924
11	-4.4222236	0.5656581	-3.379033	-5.0918026	60.0	-2.5700648	1.9549674	3.4937046	-9.17737	7200	2.2888183e-07	5.4213257	-0.13296077	-4.8896904	11.434664	0.027766906	0.71166664	6.0	270.77948927879333
12	-4.4621553	0.6634631	-3.2480786	-5.39604	60.0	-2.220955	1.7807148	3.4259768	-7.9521894	7800	1.11262e-08	4.4932556	-0.12257499	-3.9952054	11.4257145	0.026382333	0.52166665	3.0	293.2338938713074
13	-4.8948393	0.3563347	-4.3161726	-5.3506103	60.0	-1.9290242	1.6313342	3.1868525	-8.526907	8400	-2.8610229e-08	4.169461	-0.12273536	-3.5921788	11.115014	0.021454483	0.5566667	4.0	315.42381620407104
14	-4.370603	0.66168725	-3.2957246	-5.4777045	60.0	-2.3664856	1.8963314	3.2658384	-9.924268	9000	-9.536743e-08	4.7043753	-0.12099253	-4.2290163	11.225557	0.03141263	0.585	4.0	338.15840458869934
15	-4.797124	0.43877342	-4.061977	-5.599534	60.0	-2.0633183	1.6017563	3.2324634	-8.638532	9600	1.14440915e-07	3.5443432	-0.12885223	-3.0664496	11.191025	0.03031107	0.645	5.0	360.36989426612854
16	-4.4469714	0.42076728	-3.6630757	-5.0054717	60.0	-2.19336	1.5012634	1.7939615	-7.5823064	10200	-1.4305114e-08	3.1359344	-0.12729362	-2.7914517	11.282434	0.037241407	0.5566667	4.0	382.94856309890747
17	-4.3262715	0.4186454	-3.7688608	-5.0143456	60.0	-2.0411985	1.6396005	2.671399	-6.8805375	10800	-4.45048e-08	3.460474	-0.13870703	-3.002414	11.166209	0.032798067	0.72833335	6.0	405.9724886417389
18	-4.475052	0.7464606	-3.0364375	-5.5770745	60.0	-1.9376627	1.5672886	4.565613	-6.8371015	11400	-2.6226044e-08	3.312839	-0.13074343	-3.006276	11.447253	0.028222166	0.675	5.0	428.8325972557068
19	-4.7378044	0.46395522	-3.8864722	-5.6680617	60.0	-2.0748103	1.5763146	4.7145267	-6.7430387	12000	7.947286e-09	3.4053907	-0.11544798	-3.0977407	11.222487	0.025752643	0.44333333	3.0	451.49918937683105
20	-4.9273157	0.4403295	-4.226934	-5.641055	60.0	-2.1670773	1.4425747	1.9662701	-7.1413364	12600	-1.335144e-07	2.898326	-0.1262031	-2.579358	11.430076	0.02705148	0.60333335	4.0	474.37311148643494
21	-4.439332	0.53297895	-3.5195959	-5.318723	60.0	-2.172897	1.4949417	3.3975108	-7.082429	13200	2.8610229e-08	3.0818465	-0.12684415	-2.795102	11.450331	0.027599761	0.565	4.0	497.39763951301575
22	-4.5811825	0.76842695	-3.1566336	-5.67231	60.0	-2.0945284	1.495291	3.166519	-7.0765533	13800	3.33786e-08	3.2113504	-0.1307683	-2.8502996	11.347071	0.027267857	0.67	5.0	519.8875708580017
23	-5.0933666	0.5215459	-3.8869455	-5.7586246	60.0	-2.0970535	1.4004538	3.0381603	-7.448134	14400	6.437302e-08	3.1663876	-0.12545994	-2.673993	11.262053	0.029369246	0.575	4.0	542.2436439990997
24	-4.612948	0.552259	-3.5687592	-5.3450522	60.0	-2.0139453	1.3992205	3.9151225	-7.5891237	15000	-1.557668e-07	2.6870165	-0.11095086	-2.3963957	11.311099	0.025282172	0.41333333	3.0	564.7779343128204
25	-4.7768044	0.66597354	-3.0723102	-5.399094	60.0	-2.0856495	1.3952962	4.0437956	-6.622033	15600	1.3113022e-07	2.611597	-0.12608838	-2.203297	11.211179	0.032504547	0.6533333	5.0	587.1410417556763
26	-4.8040714	0.64184326	-3.7349818	-5.666595	60.0	-1.9803507	1.4879764	5.8810062	-6.6904016	16200	1.1523564e-07	2.617906	-0.12019642	-2.300721	11.340226	0.027446697	0.58	4.0	609.7308859825134
27	-4.9305873	0.29158452	-4.5301023	-5.3098044	60.0	-2.155514	1.314555	3.6739063	-8.282992	16800	-1.2715658e-08	2.4219148	-0.13680029	-2.157332	11.346131	0.031713385	0.725	6.0	631.9875016212463
28	-4.54493	0.51261336	-3.7573986	-5.341273	60.0	-2.2395182	1.4670359	2.6554916	-6.5802727	17400	5.00679e-08	3.185811	-0.1266715	-2.8997626	11.146405	0.027489891	0.57	4.0	655.0097925662994
29	-4.784018	0.45827416	-4.103499	-5.714416	60.0	-2.0810137	1.2772237	2.6164017	-6.7636333	18000	-7.073084e-08	2.400539	-0.116346166	-2.07104	11.332334	0.026913274	0.48	3.0	677.3504588603973
30	-4.589503	0.6691094	-3.681899	-5.9119277	60.0	-1.9022225	1.3948258	2.6335478	-6.5705314	18600	9.536743e-09	2.3900933	-0.13608824	-2.151203	11.3426285	0.031748824	0.755	6.0	700.5324375629425
31	-4.8823233	0.3730266	-4.143986	-5.3481994	60.0	-1.9665047	1.276611	2.0317347	-6.9604025	19200	2.5749208e-07	2.4287548	-0.11291237	-2.0695703	11.205266	0.030504145	0.45666668	3.0	722.819237947464
32	-4.857599	0.4900887	-4.0658154	-5.519384	60.0	-2.2219548	1.2661532	2.7967505	-6.6395154	19800	-1.5894572e-07	2.150483	-0.11413042	-1.8737695	11.296402	0.031662628	0.5783333	4.0	745.1125190258026
33	-5.0077963	0.4401243	-4.4119487	-5.9474673	60.0	-2.063849	1.249398	1.4144692	-6.386224	20400	-1.7404557e-07	2.3366442	-0.124153666	-2.039611	11.404896	0.024960153	0.59	4.0	767.5486242771149
34	-4.834131	0.4523086	-3.8541646	-5.3293962	60.0	-2.1060433	1.35259	3.2799346	-6.693117	21000	9.2188515e-08	2.341036	-0.12598568	-2.048791	11.315164	0.029193172	0.65	5.0	790.0890951156616
35	-5.011568	0.49701285	-4.186436	-5.724771	60.0	-2.0799675	1.3772087	2.037499	-7.8527684	21600	1.5894572e-09	2.4935143	-0.12981394	-2.219704	11.101779	0.028257504	0.63666666	5.0	812.5424942970276
36	-4.8386073	0.4525707	-3.882765	-5.325841	60.0	-2.1014657	1.3025756	2.484954	-7.2657204	22200	-6.079674e-08	2.1651	-0.13370886	-1.937979	11.281086	0.03235519	0.62	5.0	835.2384548187256
37	-4.9355264	0.5443286	-3.4597404	-5.411815	60.0	-2.053318	1.357555	2.1226025	-7.6721225	22800	-1.4305114e-08	2.1693132	-0.12125932	-1.9312783	11.219962	0.027866647	0.57166666	4.0	857.6202301979065
38	-5.198748	0.41654065	-4.140525	-5.6399965	60.0	-2.2089376	1.2027494	1.4731374	-6.414627	23400	-6.7551933e-09	2.120244	-0.13593479	-1.8917884	11.182824	0.029572586	0.6983333	5.0	880.0085003376007
39	-4.8196096	0.6303106	-3.6821468	-5.6680293	60.0	-2.0954874	1.3411801	2.49034	-6.665755	24000	2.0980835e-07	2.6199656	-0.13442081	-2.3715267	11.39208	0.027385263	0.65833336	5.0	902.5578255653381
40	-4.834593	0.62788385	-3.7401726	-5.615609	60.0	-2.24284	1.3806291	3.2404757	-6.3163776	24600	-1.5894573e-08	2.455833	-0.11692035	-2.2203035	11.329309	0.026637157	0.48333332	3.0	925.5687923431396
41	-4.9710126	0.5706157	-3.977424	-5.5957317	60.0	-1.9315493	1.2955136	3.9416132	-5.9267273	25200	-1.8119812e-07	2.5496082	-0.13083054	-2.3186228	11.193659	0.032014865	0.6566667	5.0	948.2898409366608
42	-5.2702837	0.3293587	-4.5807467	-5.744827	60.0	-2.2135332	1.241654	3.1135716	-6.1059413	25800	-1.8715859e-07	2.1825407	-0.11119086	-1.9224318	11.2307625	0.024910148	0.445	3.0	970.4929797649384
43	-5.157863	0.70006305	-3.6381197	-6.2866025	60.0	-2.2669702	1.2745216	1.9747063	-6.036787	26400	1.9073487e-07	2.5026486	-0.11937944	-2.2866445	10.981721	0.026329067	0.60833335	4.0	993.0177941322327
44	-5.086524	0.5503679	-4.069068	-5.971678	60.0	-2.240295	1.3269912	2.2599616	-7.148305	27000	4.4107438e-08	2.5065746	-0.13503666	-2.2755852	11.208398	0.02944751	0.68833333	5.0	1015.619448184967
45	-5.2839875	0.24674256	-4.8864417	-5.6639366	60.0	-2.3003523	1.2747664	3.3468385	-6.4232993	27600	1.11262e-08	2.3425207	-0.12891175	-2.116807	11.107729	0.033828616	0.6766667	5.0	1038.1359362602234
46	-5.449482	0.56685525	-4.1252956	-6.2346244	60.0	-2.3728728	1.2829304	1.9133824	-6.611022	28200	-1.223882e-07	2.6498353	-0.13452505	-2.3544002	11.193545	0.032163836	0.65833336	5.0	1060.3680510520935
47	-5.4526677	0.527063	-4.289458	-6.247941	60.0	-2.3124413	1.2821338	2.1290712	-7.2334538	28800	-1.5258789e-07	2.5794113	-0.12632273	-2.3295405	11.146263	0.028259862	0.575	4.0	1082.8194212913513
48	-4.927403	0.514366	-3.8222702	-5.5114536	60.0	-2.2750335	1.3332046	1.9115689	-6.8282633	29400	-1.1205673e-07	2.4871135	-0.12522326	-2.2938473	11.243115	0.024781309	0.5883333	4.0	1105.5986304283142
49	-4.908583	0.69685036	-3.762765	-5.8256664	60.0	-2.3334668	1.2907026	2.8624623	-6.8097544	30000	5.5631002e-08	2.3212798	-0.12535849	-2.1364708	11.178758	0.023908984	0.59166664	4.0	1128.2718238830566
50	-5.297489	0.70512795	-3.984318	-6.1182704	60.0	-2.038315	1.3571508	2.8825073	-6.749333	30600	9.099642e-08	2.6100342	-0.115802355	-2.3323717	11.235334	0.02997008	0.465	3.0	1150.8943769931793
51	-5.322788	0.7903971	-3.5076396	-6.256786	60.0	-2.3049939	1.2995443	2.7701411	-5.7271748	31200	6.834666e-08	2.503953	-0.12683688	-2.2756996	11.333809	0.032074377	0.6616667	5.0	1173.4789457321167
52	-5.2387524	0.4737337	-4.4020205	-5.8656383	60.0	-2.3002636	1.3552475	2.7489123	-6.5996513	31800	-3.6160152e-08	2.310798	-0.113312185	-2.0993493	11.219321	0.030704781	0.46166667	3.0	1195.8548262119293
53	-5.1853385	0.6973072	-3.867899	-5.9058633	60.0	-2.1909049	1.2816402	2.1272163	-6.788249	32400	-2.3841858e-08	2.3796232	-0.12165409	-2.1778154	11.203167	0.03265365	0.57666665	4.0	1218.3209438323975
54	-5.4092073	0.38262877	-4.667382	-5.9463234	60.0	-2.1841521	1.2480537	2.0788524	-6.921484	33000	-1.5497207e-08	2.2797189	-0.11179457	-2.044451	11.120174	0.02824255	0.44833332	3.0	1240.6285197734833
55	-4.691842	0.78087956	-3.5962157	-5.6790786	60.0	-2.3746321	1.3267702	0.8647448	-7.1414747	33600	7.311503e-08	2.199491	-0.12551165	-2.0017064	11.301261	0.025132578	0.5966667	4.0	1263.6579163074493
56	-5.280746	0.48092803	-4.504298	-5.975986	60.0	-2.083809	1.2649742	2.03737	-6.855074	34200	-1.9073486e-08	2.2806451	-0.124722384	-2.1002614	11.229284	0.037005857	0.62	4.0	1286.2971167564392
57	-5.161174	0.6364467	-3.9854248	-5.8825026	60.0	-2.2983778	1.3514951	2.4102457	-7.215148	34800	-6.9936114e-08	2.190307	-0.12976874	-2.0090384	11.147762	0.039814323	0.665	5.0	1308.970433473587
58	-5.1317167	0.48234832	-4.342837	-5.7817955	60.0	-2.1713839	1.2594448	1.4464091	-7.509227	35400	6.039937e-08	2.224362	-0.11275389	-1.987721	11.24786	0.028085219	0.455	3.0	1331.7398462295532
59	-4.9627123	0.7831683	-3.769587	-5.961061	60.0	-2.1663885	1.2874852	2.0955987	-7.275958	36000	-6.834666e-08	2.2435324	-0.14170639	-2.038474	11.269889	0.025959391	0.75166667	7.0	1354.5052917003632
60	-5.0855246	0.83289456	-3.6567597	-6.383762	60.0	-2.281969	1.302421	1.8406023	-7.137233	36600	8.90096e-08	1.9468842	-0.11587699	-1.7347016	11.212141	0.030034807	0.48666668	3.0	1377.5049531459808
61	-5.2757916	0.58000374	-3.9223912	-6.1041384	60.0	-2.3402708	1.1589402	1.8229879	-6.0845423	37200	-9.536743e-08	2.2954552	-0.12807176	-2.0827508	11.2008915	0.03396524	0.68666667	5.0	1399.9763207435608
