Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-13.309557	1.2146108	-11.700934	-14.828043	119.6	-16.45945	3.6467464	7.311534	-22.28362	600	-1.7325084e-07	59.63052	-0.10512327	-40.36136	12.718633	0.10035835	0.62666667	5.0	54.50652098655701
1	-14.451082	0.24438335	-14.114018	-14.850082	120.0	-12.997454	2.400263	-4.391888	-25.57019	1200	3.973643e-09	4.755991	-0.14385188	-3.9313478	12.913323	0.011302464	0.94166666	79.0	107.4863510131836
2	-14.475725	0.29674447	-14.040476	-14.870959	120.0	-13.461057	1.8887768	3.2313497	-21.539522	1800	2.1457673e-08	4.900911	-0.11191182	-4.587992	12.634896	0.025158124	0.955	79.0	161.47200083732605
3	-14.531705	0.4160677	-14.080031	-15.06563	120.0	-14.681724	1.3822916	-5.642248	-21.679016	2400	-1.4146168e-07	1.903553	-0.098351344	-1.6966598	12.770909	0.08551299	0.75166667	12.0	214.05582189559937
4	-12.39209	3.9616017	-4.4763765	-14.489953	120.0	-12.253932	5.720339	5.8552284	-22.401905	3000	1.2715658e-08	2.3718472	-0.09670594	-2.19833	12.697157	0.106772006	0.6933333	6.0	267.34776735305786
5	-14.106433	0.22924665	-13.884086	-14.542794	120.0	-15.490495	1.645945	-3.3958998	-22.151676	3600	-7.708867e-08	3.076012	-0.093308605	-2.7779808	12.751639	0.08075554	0.7266667	13.0	319.44430017471313
6	-14.154864	0.17979813	-13.824176	-14.36616	120.0	-15.75801	0.8851956	-9.559762	-20.30199	4200	-9.536743e-09	10.013666	-0.08410063	-5.619379	12.826014	0.109071985	0.58166665	6.0	371.68988156318665
7	-11.663389	3.16181	-6.7277727	-14.244765	108.0	-12.456554	4.96692	2.633942	-21.602179	4800	-2.5431316e-08	25.406355	-0.11923453	-23.721317	12.822887	0.093296535	0.68833333	7.0	424.6344521045685
8	-14.409991	0.35923222	-14.066036	-15.061842	120.0	-13.561393	1.8509276	-5.5856647	-19.669891	5400	-1.04904174e-07	5.8019996	-0.14615092	-5.5057197	12.902247	-0.03992743	0.97	79.0	478.0436165332794
9	-14.259157	0.16424179	-14.122064	-14.572738	120.0	-14.891735	0.9862483	-2.7888439	-20.378029	6000	9.536743e-08	1.243386	-0.07248201	-1.0756224	12.847898	0.09084093	0.59833336	6.0	530.98180103302
10	-12.318031	3.4924688	-5.3508525	-14.5071535	120.0	-12.481604	5.9783797	11.990051	-23.651443	6600	-2.2649765e-08	5.3510084	-0.09271114	-5.266822	12.767649	0.08301267	0.6433333	11.0	585.1263103485107
11	-13.027235	2.9924688	-7.054347	-14.768022	120.0	-13.613572	5.1693172	4.8755627	-20.557802	7200	-2.5749208e-07	6.6723204	-0.0902744	-6.417105	12.884585	0.08991071	0.655	8.0	637.7720999717712
12	-11.492828	5.2943993	-0.9104345	-14.486129	120.0	-12.323473	6.686944	3.0950022	-20.455788	7800	1.7166138e-07	3.2971733	-0.094449736	-3.155249	12.875097	-0.057450783	0.9266667	79.0	692.0315792560577
13	-9.775271	5.60371	-1.6058319	-14.788362	120.0	-10.576496	7.119768	7.855318	-19.401466	8400	-1.9868216e-08	4.187547	-0.096825644	-3.98983	12.56339	0.10201289	0.6666667	8.0	746.1528568267822
14	-6.781807	5.8285303	-1.0346739	-13.803378	104.6	-9.17236	8.233841	3.0108619	-21.09389	9000	-2.3444494e-08	10.79018	-0.08145046	-9.973166	12.67508	0.11936967	0.6333333	5.0	800.7185428142548
