Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-196.30971	0.0	-196.30971	-196.30971	3000.0	-2.690369	2.489952	5.5612535	-6.459898	3000	-2.415975e-08	50.402782	-0.15242112	-49.400677	11.027083	-0.04531784	0.9356667	79.0	4.923941135406494
1	-190.45744	0.0	-190.45744	-190.45744	3000.0	-7.4133573	3.295736	7.736187	-11.72743	6000	4.005432e-08	14.76625	-0.12818913	-14.095373	11.008409	0.0004985348	0.9203333	79.0	9.20487093925476
2	-198.64687	0.0	-198.64687	-198.64687	3000.0	-9.749288	1.1411468	-1.4360826	-12.51223	9000	4.3710074e-08	2.071637	-0.14572641	-1.7079026	10.861258	0.063934796	0.9036667	79.0	13.55365252494812
3	-199.65652	0.0	-199.65652	-199.65652	3000.0	-8.249597	1.9363447	3.7053914	-11.786298	12000	-8.010864e-08	6.876064	-0.13047633	-6.3071523	10.731951	-0.012523035	0.921	79.0	17.893572330474854
4	-203.62254	0.0	-203.62254	-203.62254	3000.0	-9.033741	0.9518125	-1.5023953	-11.938538	15000	-2.0345052e-08	1.6764815	-0.14222144	-1.3989344	10.752008	0.045452997	0.9293333	79.0	22.168001413345337
5	-202.6419	0.0	-202.6419	-202.6419	3000.0	-9.476613	0.8420772	-5.4861526	-11.882693	18000	2.1298726e-08	0.7751472	-0.1497534	-0.6321619	10.633736	0.058821544	0.9343333	79.0	26.555772066116333
6	-206.70619	0.0	-206.70619	-206.70619	3000.0	-9.468929	0.7628341	-2.7998517	-11.7490425	21000	-4.5776368e-08	0.85353106	-0.14618489	-0.71193683	10.583234	0.045713045	0.9496667	79.0	32.312044620513916
7	-200.9933	0.0	-200.9933	-200.9933	3000.0	-9.762457	0.8247698	-6.425373	-11.770809	24000	4.5776368e-08	0.6175827	-0.12791085	-0.50383323	10.444887	0.07829616	0.74	17.0	36.442734479904175
8	-197.91333	0.0	-197.91333	-197.91333	3000.0	-9.425331	0.9538141	-0.98428994	-11.626328	27000	-2.3841857e-09	0.5475357	-0.14365675	-0.43138057	10.387121	0.061547715	0.94733334	79.0	40.86879634857178
9	-190.97081	0.0	-190.97081	-190.97081	3000.0	-9.687305	1.0122373	-6.493286	-11.704819	30000	2.2888184e-08	0.73887014	-0.14152342	-0.6169581	10.302375	0.07632445	0.7696667	27.0	46.50633358955383
10	-198.36559	0.0	-198.36559	-198.36559	3000.0	-9.021469	0.8585817	-1.8159713	-10.855056	33000	-1.7166137e-08	0.93819094	-0.12679705	-0.8194942	10.325539	0.077537544	0.78033334	20.0	51.94106936454773
11	-200.1366	0.0	-200.1366	-200.1366	3000.0	-9.440597	0.89855886	-4.895912	-11.582872	36000	-6.11941e-08	0.7372889	-0.12893058	-0.63162637	10.330588	0.078306906	0.74733335	16.0	55.638692140579224
12	-191.64421	0.0	-191.64421	-191.64421	3000.0	-9.355048	0.839347	-6.1269426	-11.252897	39000	-6.357829e-09	0.94977874	-0.12271438	-0.84856594	10.222094	0.08034969	0.67466664	12.0	59.33416128158569
13	-201.84662	0.0	-201.84662	-201.84662	3000.0	-9.59379	1.1374239	-6.3716836	-12.029499	42000	8.90096e-09	0.55839014	-0.124199785	-0.4844078	10.290391	0.07929537	0.6933333	14.0	63.02271366119385
14	-194.68376	0.0	-194.68376	-194.68376	3000.0	-9.574518	0.8332748	-6.584172	-11.43372	45000	-5.4041546e-08	0.30867985	-0.15176609	-0.24950625	10.271316	0.0645375	0.9176667	79.0	67.12739944458008
15	-180.63979	0.0	-180.63979	-180.63979	3000.0	-9.100943	0.83018786	-6.4727635	-11.09203	48000	-1.36693314e-08	0.42856848	-0.1549062	-0.3817338	10.234672	0.06852471	0.8946667	79.0	71.29477715492249
16	-156.34534	0.0	-156.34534	-156.34534	3000.0	-8.553875	0.999754	-1.52237	-10.58506	51000	1.0585785e-07	7.1336174	-0.07959152	-6.844936	10.076618	0.09728979	0.539	6.0	74.97401213645935
17	-142.50673	0.0	-142.50673	-142.50673	2382.0	-7.960679	1.658061	2.4002783	-10.927612	54000	-5.2611032e-08	0.65359414	-0.14595337	-0.58079535	10.0265465	0.04563502	0.91066664	79.0	79.30325531959534
18	-128.61452	0.0	-128.61452	-128.61452	2560.0	-7.352876	2.0113075	1.8287379	-10.204858	57000	-5.4677326e-08	1.692766	-0.09845288	-1.6205974	10.016986	0.079226494	0.6346667	14.0	83.08435773849487
19	-150.19055	0.0	-150.19055	-150.19055	3000.0	-6.7415304	2.028346	-1.9726965	-9.931953	60000	3.083547e-08	0.86273354	-0.1384599	-0.78991634	9.9587555	0.049676377	0.8843333	79.0	87.3279824256897
20	-186.94167	0.0	-186.94167	-186.94167	3000.0	-8.435179	0.7786214	-2.8877525	-10.445621	63000	3.6875406e-08	0.7263368	-0.14519681	-0.64438754	10.095577	0.06479157	0.9456667	79.0	92.0510835647583
21	-185.64798	0.0	-185.64798	-185.64798	3000.0	-9.150346	0.6754562	-6.6749916	-10.545946	66000	-1.2715658e-08	0.24950911	-0.15498143	-0.1967943	9.952979	0.050967965	0.906	79.0	97.13932275772095
22	-188.39172	0.0	-188.39172	-188.39172	3000.0	-8.79409	0.7129396	-6.668193	-10.265369	69000	2.5113424e-08	0.21453536	-0.14960393	-0.18404512	9.865086	0.06427901	0.93233335	79.0	101.30628538131714
23	-184.56355	0.0	-184.56355	-184.56355	3000.0	-9.074175	0.42873165	-7.403628	-10.013584	72000	4.2915346e-08	0.27374455	-0.13239956	-0.23580596	10.014409	0.07753672	0.7443333	21.0	104.99395418167114
24	-200.31808	0.0	-200.31808	-200.31808	3000.0	-8.900299	0.6170588	-6.6268616	-10.296639	75000	-2.6067099e-08	0.9466009	-0.13457699	-0.8777337	9.694501	0.077874	0.76633334	18.0	108.64156603813171
25	-193.02269	0.0	-193.02269	-193.02269	3000.0	-9.4530325	0.82528716	-7.083753	-11.152209	78000	-3.3458075e-08	0.80038214	-0.12684791	-0.7286651	9.76472	0.07925028	0.71533334	16.0	112.32668733596802
26	-177.898	0.0	-177.898	-177.898	3000.0	-8.883927	0.5431555	-7.110215	-10.278562	81000	-1.9073487e-09	0.2974714	-0.1563805	-0.26786575	9.678069	0.06266497	0.91933334	79.0	116.55694770812988
27	-183.60216	0.0	-183.60216	-183.60216	3000.0	-8.469036	0.79034275	-6.6912107	-10.667538	84000	-5.2452087e-09	0.46807674	-0.14422701	-0.4289722	9.760244	0.053071707	0.915	79.0	120.63260841369629
28	-199.80775	0.0	-199.80775	-199.80775	3000.0	-9.268472	1.2118988	-6.367267	-11.741155	87000	-5.276998e-08	0.4872599	-0.13758253	-0.44356313	9.560143	0.07840245	0.787	16.0	124.2782039642334
29	-178.11676	0.0	-178.11676	-178.11676	3000.0	-9.181092	0.689047	-6.7118993	-10.694528	90000	4.673004e-08	0.6281642	-0.14570943	-0.5799703	9.597007	0.05766504	0.88566667	79.0	128.42391800880432
