Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-10.753751	3.7352402	-5.6594014	-15.070614	88.666664	-6.538875	5.495483	0.5400897	-21.318468	600	-1.303355e-07	5.655267	-0.15114886	-4.513809	12.718633	0.07855522	0.91833335	15.0	20.169235706329346
1	-10.171705	3.9100237	-6.4904504	-18.650934	76.85714	-5.2588544	3.0602183	2.6902184	-17.586493	1200	-6.67572e-08	9.686344	-0.1481385	-8.125462	12.913323	0.07922319	0.835	13.0	38.43888068199158
2	-7.635332	2.3327346	-5.5018063	-12.525408	65.0	-4.269694	2.388609	0.76637244	-13.472748	1800	-4.45048e-08	4.629576	-0.14865898	-3.736053	12.634896	0.076054595	0.945	35.0	55.400542974472046
3	-10.573396	2.0626323	-6.694403	-13.095486	94.333336	-5.4430614	4.3886337	1.3340503	-17.628212	2400	-5.5631002e-08	6.340458	-0.1550887	-5.0149093	12.770909	0.08433049	0.90833336	16.0	72.33830618858337
4	-8.304832	2.9569235	-4.1422777	-14.260739	73.25	-4.870608	2.1488485	0.9468477	-14.047646	3000	-1.1920929e-07	9.013115	-0.15697639	-6.162732	12.697157	0.075170465	0.93	28.0	89.2713851928711
5	-10.35678	2.5403137	-7.0276585	-13.218878	95.0	-6.4678035	3.9476743	-0.25246227	-17.20512	3600	-1.4623006e-07	4.0237174	-0.15233557	-3.382161	12.751639	0.08075179	0.8883333	16.0	106.39960408210754
6	-9.921403	2.9780204	-6.8201685	-15.259684	82.71429	-4.0887475	2.1958222	1.0509232	-13.133496	4200	-9.8546344e-08	5.210428	-0.14954448	-3.8536043	12.826014	0.08018048	0.88166666	17.0	123.20407390594482
7	-10.05878	4.428198	-4.3293657	-18.905704	83.14286	-7.4662476	4.857147	1.2516687	-20.530552	4800	3.1789146e-08	8.86991	-0.1361487	-8.207241	12.822888	0.08777781	0.8183333	8.0	140.48100328445435
8	-10.618299	4.1639957	-5.0893154	-17.005007	86.0	-6.5338287	5.463023	0.9246764	-22.939825	5400	-1.2715658e-08	5.930427	-0.14254825	-4.4134426	12.902247	0.08842097	0.80333334	10.0	157.2847261428833
9	-11.018788	4.1339793	-4.8675523	-18.661814	96.166664	-9.819267	7.2766867	2.0707498	-23.768011	6000	-1.3510386e-07	4.8839927	-0.13818514	-4.559071	12.847898	0.08431349	0.745	8.0	174.90723490715027
10	-8.0634365	2.677122	-4.591702	-11.997479	69.375	-3.9852426	2.5598102	3.6706758	-15.311519	6600	-1.0649363e-07	4.699818	-0.12902364	-3.8797026	12.76765	0.07990396	0.74833333	9.0	191.92191457748413
11	-11.272836	5.8780913	-5.7324324	-21.869312	80.85714	-9.458621	6.8761716	0.979761	-23.448717	7200	-2.1457672e-07	5.665625	-0.13432764	-5.3409305	12.884585	0.09464369	0.79333335	8.0	209.12094449996948
12	-8.820878	3.1730177	-4.75436	-15.77752	81.14286	-3.9223735	3.574345	1.5623966	-21.034603	7800	3.417333e-08	4.738793	-0.13643679	-4.234192	12.875097	0.075227305	0.94666666	38.0	226.299644947052
13	-8.098961	1.9528297	-4.370717	-10.128133	82.5	-3.545565	2.2017245	0.5585581	-10.447521	8400	6.7949294e-08	3.436254	-0.14873472	-2.8329825	12.563389	0.08113434	0.87333333	20.0	243.3761293888092
14	-10.124625	3.8242636	-5.701597	-16.556742	87.166664	-9.660372	7.472767	3.5924358	-25.36681	9000	-6.67572e-08	5.411819	-0.15406919	-4.573446	12.67508	0.067928135	0.99333334	79.0	261.10811948776245
15	-9.628243	3.4053652	-5.343736	-15.597609	80.57143	-6.8095493	5.170754	0.5450057	-22.4781	9600	6.2783556e-08	6.667535	-0.15189043	-5.162776	12.644309	0.046834145	0.9916667	79.0	278.35119915008545
