Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-156.31226	30.097422	-64.14169	-249.13809	60.0	-66.15527	37.863342	5.951023	-180.15103	30000	7.5276695e-08	367.04904	-0.0127097415	-56.11252	6.808402	0.018949062	0.2787	1.0	658.2579393386841
1	-158.36957	31.852007	-56.168377	-269.16907	60.0	-66.28701	38.81858	7.032156	-163.30583	60000	-3.3569336e-08	388.18814	0.010915174	-58.262543	6.8122087	0.031669185	0.38646665	1.0	1311.5823955535889
2	-160.1173	29.790182	-61.38017	-276.5184	60.0	-67.78056	39.137688	35.526287	-187.97443	90000	7.425944e-08	390.37042	-0.041070342	-55.55475	6.8406625	0.016249476	0.23386666	10.0	1965.0979888439178
3	-158.00246	30.597517	-60.84381	-255.95459	60.0	-66.34737	38.95883	-1.8697739	-169.3162	120000	-5.2261353e-08	357.58093	-0.03736649	-53.457153	6.798104	0.016461115	0.23363334	9.0	2624.4380617141724
4	-157.56784	28.871225	-60.48486	-244.25484	60.0	-66.40515	38.712242	-7.8093915	-167.86208	150000	1.93278e-08	319.61487	-0.03794905	-49.072876	6.8100457	0.017062599	0.2421	10.0	3280.002037525177
5	-158.51202	29.243702	-66.01747	-265.10352	60.0	-67.16215	38.547794	5.6424294	-167.66016	180000	2.0345052e-08	353.95303	-0.03927265	-55.052032	6.785825	0.016788945	0.24853334	10.0	3933.892436504364
6	-157.24905	28.367517	-64.18294	-273.6327	60.0	-66.81974	38.646465	-0.113927364	-184.79428	210000	1.6276042e-08	339.18933	-0.03604715	-53.34427	6.7591453	0.017230319	0.2425	9.0	4586.153094768524
7	-157.12521	28.835438	-62.45392	-238.87405	60.0	-65.49578	38.917908	6.9292045	-171.51718	240000	-1.8310548e-08	344.55057	-0.03708071	-54.324554	6.759809	0.016311476	0.24236667	9.0	5247.447773933411
8	-160.4256	28.78103	-56.98894	-290.24292	60.0	-67.53185	38.004898	-3.9091635	-181.85849	270000	-5.3914388e-08	366.1792	-0.033722796	-54.669403	6.7686186	0.017751565	0.23336667	8.0	5907.650743961334
9	-159.90703	30.497166	-58.10068	-299.2664	60.0	-66.264534	39.176987	17.234335	-162.88638	300000	-3.2552084e-08	390.93698	-0.03668834	-59.448822	6.7728415	0.018556902	0.24993333	9.0	6568.757496356964
