Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-35.416893	0.0	-35.416893	-35.416893	1000.0	0.3392999	0.8489379	2.7230334	-1.5125796	4000	2.1769245	14.570828	-0.4513346	-14.560642	11.005824	0.7508255	0.896	1.0	5.279021501541138
1	-35.441833	0.0	-35.441833	-35.441833	1000.0	-3.197519	0.96856076	-0.32038414	-4.212359	8000	1.7077895	0.017359871	-0.35929966	-0.013120532	11.012336	0.70053786	0.87275	1.0	10.275026321411133
2	-35.46679	0.0	-35.46679	-35.46679	1000.0	-3.2405558	0.90057915	-0.6581692	-4.2444496	12000	1.3489326	0.007827554	-0.29298818	-0.00555572	10.981623	0.63955736	0.87475	1.0	15.222325801849365
3	-35.49176	0.0	-35.49176	-35.49176	1000.0	-3.271248	0.85125047	-0.9230957	-4.243328	16000	1.0634757	0.0043272097	-0.20324135	-0.0029235538	11.01708	0.5480786	0.8585	1.0	20.2099187374115
4	-35.516747	0.0	-35.516747	-35.516747	1000.0	-3.2939634	0.8151496	-1.116321	-4.2416096	20000	0.85234857	0.0026635784	-0.13971418	-0.0016974532	11.010064	0.41774732	0.82525	1.0	25.183998584747314
5	-35.541748	0.0	-35.541748	-35.541748	1000.0	-3.3129327	0.7882409	-1.2695198	-4.2427306	24000	0.71169066	0.0017723067	-0.085336685	-0.001053027	11.013192	0.34203118	0.80325	1.0	30.263556003570557
6	-35.56676	0.0	-35.56676	-35.56676	1000.0	-3.3275082	0.7669045	-1.3864921	-4.24379	28000	0.6211016	0.0012647104	-0.04659301	-0.00070007326	11.033666	0.26494378	0.7765	1.0	35.34318923950195
7	-35.59179	0.0	-35.59179	-35.59179	1000.0	-3.3402934	0.75004166	-1.4809873	-4.2468357	32000	0.57709855	0.000941242	-0.04532045	-0.00048296468	10.920199	0.3599031	0.802	2.0	41.154372692108154
8	-35.616833	0.0	-35.616833	-35.616833	1000.0	-3.3509672	0.7364243	-1.5582019	-4.2497964	36000	0.5295311	0.00072846125	-0.022523105	-0.0003484143	10.971661	0.18249579	0.753	2.0	46.38633441925049
9	-35.641888	0.0	-35.641888	-35.641888	1000.0	-3.360424	0.72515374	-1.6225598	-4.2528768	40000	0.5123021	0.00057436305	-0.024943173	-0.00025448427	10.895423	0.22573954	0.7415	3.0	51.52155327796936
10	-35.666954	0.0	-35.666954	-35.666954	1000.0	-3.3685663	0.71589357	-1.6776333	-4.256956	44000	0.4877785	0.0004638148	-0.033386707	-0.00019147902	10.900301	0.189587	0.7405	4.0	56.914931774139404
11	-35.69203	0.0	-35.69203	-35.69203	1000.0	-3.3760571	0.7082297	-1.7253588	-4.2612233	48000	0.46133664	0.0003788817	-0.033735394	-0.00014480666	10.965915	0.1416035	0.6835	4.0	62.337170362472534
12	-35.717125	0.0	-35.717125	-35.717125	1000.0	-3.382458	0.70192504	-1.7664584	-4.265498	52000	0.433875	0.00031729173	-0.020277262	-0.00011440276	10.866914	0.11799107	0.6375	4.0	67.91266775131226
13	-35.74223	0.0	-35.74223	-35.74223	1000.0	-3.388599	0.6966234	-1.8025503	-4.269745	56000	0.41852054	0.00026633413	-0.019863635	-8.9151086e-05	10.892744	0.10067006	0.6405	6.0	72.97184371948242
