Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-206.90486	32.943565	-153.27803	-273.0769	60.0	-2.2234018	1.427961	-0.39932716	-8.904259	600	1.0649363e-07	10678.838	-0.10580102	-1799.5381	9.243566	0.11578654	0.56166667	1.0	22.885276556015015
1	-197.90927	38.935146	-141.20346	-274.47302	60.0	-12.524172	1.630107	-3.5648098	-15.188374	1200	-9.8546344e-08	8581.325	-0.08198223	-1421.6987	9.438456	0.04520995	0.38333333	1.0	45.7350869178772
2	-200.68349	24.993385	-178.03488	-262.20764	60.0	-23.03464	1.875454	1.0917315	-24.702301	1800	1.6768773e-07	6774.46	-0.07096015	-1032.7593	9.160218	0.039701074	0.32	1.0	68.25646233558655
3	-189.99765	31.455511	-121.99981	-234.62785	60.0	-31.608282	1.9957111	-8.562716	-32.954662	2400	-1.0808309e-07	5166.7764	-0.061302256	-743.1387	9.296011	0.04733191	0.31	1.0	91.23682618141174
4	-198.91942	40.171387	-123.39984	-293.50058	60.0	-38.959908	4.40335	23.542973	-40.651947	3000	-7.311503e-08	5404.1367	-0.05384434	-725.75244	9.221065	0.04612265	0.385	1.0	114.07460474967957
5	-197.89459	32.947845	-126.77392	-241.63602	60.0	-45.59461	4.3313165	-13.084042	-48.097897	3600	2.6226044e-07	4186.638	-0.075998366	-534.28076	9.274119	0.044731546	0.46166667	2.0	136.87099695205688
6	-189.50159	22.75134	-137.67935	-227.2326	60.0	-49.97965	8.425472	18.773893	-54.806385	4200	1.4225643e-07	3070.8545	-0.07779672	-383.5542	9.3473835	0.038484395	0.33	2.0	159.88356685638428
7	-174.89764	56.480755	-73.785965	-241.59738	60.0	-53.587994	12.149189	27.275349	-60.244602	4800	6.2783556e-08	3102.9978	-0.071431644	-270.45117	9.34349	0.043920074	0.38833332	2.0	183.61243796348572
8	-176.44272	37.38137	-81.852425	-208.02983	60.0	-59.70764	7.2484775	-1.5165434	-64.36479	5400	-6.039937e-08	2332.573	-0.06608661	-196.69897	9.42112	0.04746116	0.42	2.0	206.54588437080383
9	-190.6518	46.265705	-101.953125	-265.75354	60.0	-63.127182	6.5899525	-41.47013	-68.43299	6000	1.5894572e-07	3094.9175	-0.08812944	-268.0857	9.365568	0.04380192	0.47833332	3.0	229.5756494998932
10	-202.5629	21.95247	-180.27422	-252.50938	60.0	-66.91904	8.454047	5.826912	-73.2968	6600	1.8278757e-07	2647.0037	-0.06767711	-306.15625	9.282934	0.045236055	0.34833333	2.0	252.31023573875427
11	-166.36238	29.258976	-102.453514	-199.77394	60.0	-61.20444	18.03598	53.989613	-78.0183	7200	2.3206076e-07	1633.4371	-0.08236685	-258.6577	9.398432	0.038014162	0.38166666	2.0	275.9880828857422
12	-181.62634	29.74823	-123.3295	-218.7791	60.0	-70.01859	10.113949	-20.761932	-79.958466	7800	1.8994014e-07	1891.5608	-0.07127246	-150.67053	9.388163	0.036880177	0.39166668	2.0	299.1027569770813
13	-191.17734	23.846338	-163.98186	-234.65875	60.0	-72.1433	10.0999155	-41.57688	-82.757416	8400	-1.748403e-07	1815.4127	-0.05737371	-142.0636	9.076736	0.047647692	0.34666666	2.0	321.8487038612366
14	-168.68533	59.23046	-67.823044	-256.80893	60.0	-75.54103	13.499333	25.715555	-85.87602	9000	-1.9947687e-07	2360.7666	-0.08782104	-378.35657	9.187665	0.04466547	0.46833333	3.0	345.48531436920166
15	-198.73561	29.865553	-163.28093	-258.46777	60.0	-70.8483	10.469564	-38.30755	-86.6976	9600	-1.2715658e-08	2098.4463	-0.06296403	-228.05334	9.154409	0.039691657	0.28833333	2.0	368.3890085220337
16	-182.77237	45.118828	-85.744026	-244.04893	60.0	-75.69357	11.757775	-41.602398	-89.96431	10200	-2.0186107e-07	1955.9417	-0.08275285	-179.14954	9.247161	0.042623803	0.43166667	3.0	391.78034496307373
17	-160.0391	45.801952	-88.6385	-223.42365	60.0	-68.7721	17.939398	38.403397	-92.87203	10800	-1.5894572e-09	1384.1477	-0.09638392	-194.66748	9.129815	0.038801905	0.50333333	3.0	415.39257979393005
18	-184.6486	49.27957	-82.37838	-263.16086	60.0	-76.300644	13.755366	-33.24826	-93.430786	11400	1.5417734e-07	1967.1733	-0.07140619	-226.89746	9.41052	0.033329017	0.43833333	2.0	438.7893214225769
19	-173.6908	52.483185	-78.06713	-243.85973	60.0	-73.01078	17.203058	15.470539	-95.93324	12000	5.5631002e-08	1493.8185	-0.08254058	-182.33728	9.187701	0.0449869	0.49	3.0	462.6724398136139
20	-175.0534	32.749344	-101.18109	-206.58727	60.0	-76.26176	16.893177	-29.185682	-97.82925	12600	1.223882e-07	1162.9681	-0.06994726	-120.74695	9.4001045	0.04038439	0.36666667	2.0	486.29908776283264
21	-142.8828	56.631893	-68.91789	-252.08293	60.0	-73.019196	18.58117	-27.367516	-98.39785	13200	-2.8928122e-07	1284.3036	-0.058861155	-214.82812	9.425073	0.038470086	0.37333333	2.0	510.8635411262512
22	-192.70471	33.350006	-146.60672	-246.2785	60.0	-74.071724	17.11894	27.84584	-96.75895	13800	3.2027563e-07	1734.7883	-0.089813285	-272.78467	9.325159	0.027629163	0.38333333	3.0	533.660858631134
23	-191.56073	37.06758	-99.94094	-236.4708	60.0	-76.944046	18.866163	-48.669155	-99.75483	14400	7.6293944e-08	1450.7715	-0.063610345	-177.64111	9.241436	0.03328218	0.37333333	2.0	556.5895972251892
24	-183.35272	24.31465	-142.85995	-236.86299	60.0	-81.352936	19.161722	-50.5539	-103.050644	15000	1.557668e-07	1116.6979	-0.062424455	-182.05566	9.290333	0.03568995	0.41666666	2.0	579.2878634929657
25	-191.79045	27.8173	-139.04144	-226.9111	60.0	-77.750534	19.499802	-42.43231	-104.05689	15600	3.6557516e-08	1283.7135	-0.08169103	-232.81995	9.19101	0.038779717	0.47833332	3.0	601.991259098053
26	-188.78653	31.95766	-112.6429	-239.14421	60.0	-81.21164	22.747425	-48.91435	-106.6754	16200	-3.7988028e-07	1139.2744	-0.076933615	-168.68817	9.320907	0.041296195	0.42166665	3.0	625.0350024700165
27	-196.4202	32.622173	-158.77896	-270.26727	60.0	-79.59453	22.595081	-52.73723	-107.98546	16800	3.5206477e-07	1361.5872	-0.07506278	-178.64978	9.328952	0.04321416	0.46	3.0	647.7251341342926
28	-150.19934	49.752735	-77.46122	-230.88109	60.0	-69.50044	22.944702	1.8249545	-110.69159	17400	-1.780192e-07	939.2608	-0.09805958	-206.41968	9.130604	0.03357244	0.5833333	4.0	672.5698592662811
29	-175.28815	30.75269	-99.01877	-210.49916	60.0	-73.90771	24.146896	5.9302015	-110.19272	18000	6.67572e-08	845.4439	-0.08937542	-189.307	9.317735	0.044390686	0.41666666	3.0	695.5815758705139
30	-172.75883	42.545933	-96.83872	-237.04118	60.0	-75.30177	26.419497	2.3041964	-110.643745	18600	-3.0358632e-07	934.40393	-0.07681099	-208.90717	9.329783	0.038220894	0.365	2.0	719.1848878860474
31	-196.93245	18.837013	-168.71931	-233.30785	60.0	-76.94292	26.85407	-42.32358	-111.51719	19200	2.6543935e-07	998.3542	-0.056294605	-256.274	9.19374	0.031136455	0.3	2.0	741.6686320304871
32	-201.26852	35.247112	-140.03223	-274.80066	60.0	-82.25642	26.427393	-47.571663	-115.298004	19800	-1.11262e-08	1230.4534	-0.095567495	-257.1994	9.284899	0.037041564	0.495	4.0	764.0839273929596
