Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-173.2462	29.018402	-134.8399	-237.48131	60.0	-82.71654	38.385147	-15.139799	-178.21141	600	4.3710074e-08	791.60114	-0.10178835	-472.03964	7.5409026	0.035993002	0.595	1.0	24.2743718624115
1	-164.3277	26.440239	-114.031044	-208.22708	60.0	-70.07304	40.965603	1.8251786	-172.795	1200	3.973643e-08	690.8971	-0.10223085	-359.3052	7.7371793	0.048218306	0.57	2.0	47.88215231895447
2	-159.44754	18.70058	-132.46071	-187.27946	60.0	-69.49242	39.528015	-11.430716	-168.01945	1800	-7.947286e-08	469.5414	-0.092921756	-250.65045	7.460975	0.038470894	0.49666667	2.0	71.72227430343628
3	-151.55125	19.63507	-110.75039	-194.29033	60.0	-67.22261	40.607613	-10.993324	-173.49593	2400	-2.0662943e-08	287.32513	-0.096348	-183.00656	7.5974803	0.041999105	0.6116667	3.0	95.70637512207031
4	-173.77115	19.91927	-143.24936	-211.13277	60.0	-69.98927	35.783573	-6.3276405	-184.90556	3000	2.2888183e-07	568.4028	-0.07518658	-342.53973	7.520537	0.036957487	0.41833332	2.0	119.09507417678833
5	-186.11508	48.76076	-131.30008	-310.80975	60.0	-72.953545	42.0584	-2.7161303	-163.261	3600	-9.417534e-08	1136.4292	-0.10001543	-675.0759	7.5721955	0.029726934	0.60833335	4.0	142.6296362876892
6	-178.69415	19.319786	-146.2368	-209.7778	60.0	-79.663155	42.301533	10.048599	-184.9479	4200	-3.9418538e-07	820.80035	-0.10764345	-495.74545	7.6464972	0.03892706	0.55	4.0	167.54555106163025
7	-141.34859	42.550335	-67.73781	-195.4874	60.0	-69.170395	42.908794	-9.226921	-172.83253	4800	2.7020773e-08	536.86646	-0.07803427	-389.77396	7.642098	0.031032167	0.40666667	2.0	192.77786016464233
8	-154.66843	37.751625	-58.34731	-214.38472	60.0	-65.14429	42.592983	-4.8213024	-179.82356	5400	-4.895528e-07	364.81915	-0.088138856	-228.73082	7.7193637	0.033886302	0.47666666	3.0	218.87134790420532
9	-152.97726	23.881811	-110.26363	-183.44684	60.0	-62.551674	40.81524	-1.0210056	-185.89133	6000	-6.9936114e-08	439.59042	-0.10640769	-276.47986	7.662412	0.020773634	0.57166666	4.0	245.2929699420929
10	-174.93747	28.814154	-141.66576	-252.78229	60.0	-67.321724	41.140766	-0.8866191	-170.19124	6600	-2.5431316e-08	541.0215	-0.083045736	-302.62076	7.5788116	0.03220466	0.5466667	3.0	270.8395285606384
11	-155.26729	32.322464	-66.37955	-187.65518	60.0	-67.130035	37.089554	31.927002	-168.201	7200	8.16981e-07	923.70624	-0.10449707	-532.09576	7.693781	0.025604362	0.5366667	4.0	296.72419023513794
12	-156.9964	21.184057	-133.107	-199.41676	60.0	-76.400764	40.392746	-10.512921	-176.81068	7800	7.311503e-08	561.2302	-0.09315432	-376.43564	7.684178	0.024560897	0.435	3.0	321.8563132286072
13	-165.45532	10.546865	-141.43256	-183.44008	60.0	-67.947174	40.172268	-4.4944954	-171.88359	8400	-1.15633014e-07	364.8402	-0.085361	-207.18088	7.3732634	0.033516236	0.505	3.0	346.08238887786865
14	-141.98996	33.75586	-77.72056	-185.75684	60.0	-61.79918	39.503197	3.3204713	-178.70142	9000	1.9232432e-07	387.85007	-0.114982456	-233.28561	7.485455	0.025454989	0.6533333	7.0	371.14042711257935
15	-175.81027	22.07756	-139.99184	-206.86258	60.0	-69.73498	40.265495	-14.059294	-166.51863	9600	1.4146168e-07	480.45187	-0.109384134	-311.8664	7.4536815	0.02785294	0.5933333	5.0	394.7575595378876
